source_path,bounded_context,disposition,reason,target_path,manus_coupling,persistence_coupling,test_evidence,security_notes,migration_commit
.gitignore,repository,rewrite,File contains Manus coupling and cannot be reused directly,,direct,none_detected,none,Remove all Manus identifiers dependencies and runtime behavior,not_migrated_in_first_batch
.gitkeep,repository,archive_for_reference,Legacy repository configuration is not portable to the governed monorepo,,none_detected,none_detected,none,Review only and do not copy configuration blindly,not_migrated_in_first_batch
.prettierignore,repository,archive_for_reference,Legacy repository configuration is not portable to the governed monorepo,,none_detected,none_detected,none,Review only and do not copy configuration blindly,not_migrated_in_first_batch
.prettierrc,repository,archive_for_reference,Legacy repository configuration is not portable to the governed monorepo,,none_detected,none_detected,none,Review only and do not copy configuration blindly,not_migrated_in_first_batch
client/index.html,web,rewrite,Composition root is tied to the legacy application and branding,apps/web/,none_detected,none_detected,none,Use only approved runtime configuration,not_migrated_in_first_batch
client/public/.gitkeep,web,refactor_before_reuse,Client source needs independent product contract and accessibility review,apps/web/src/,none_detected,none_detected,none,Remove prototype service assumptions,not_migrated_in_first_batch
client/public/__manus__/debug-collector.js,manus-independence,reject,Manus-specific runtime branding or diagnostic asset is prohibited,,direct,none_detected,none,Do not copy or deploy,not_migrated_in_first_batch
client/public/__manus__/version.json,manus-independence,reject,Manus-specific runtime branding or diagnostic asset is prohibited,,direct,none_detected,none,Do not copy or deploy,not_migrated_in_first_batch
client/src/_core/hooks/useAuth.ts,web,rewrite,File contains Manus coupling and cannot be reused directly,apps/web/src/,direct,none_detected,none,Remove all Manus identifiers dependencies and runtime behavior,not_migrated_in_first_batch
client/src/App.tsx,web,rewrite,Composition root is tied to the legacy application and branding,apps/web/,none_detected,none_detected,none,Use only approved runtime configuration,not_migrated_in_first_batch
client/src/components/AIChatBox.tsx,web,rewrite,Component behavior is coupled to prototype runtime or product assumptions,apps/web/src/components/,none_detected,none_detected,none,Rebuild against governed contracts and remove provider coupling,not_migrated_in_first_batch
client/src/components/DashboardLayout.tsx,web,rewrite,Component behavior is coupled to prototype runtime or product assumptions,apps/web/src/components/,none_detected,none_detected,none,Rebuild against governed contracts and remove provider coupling,not_migrated_in_first_batch
client/src/components/DashboardLayoutSkeleton.tsx,web,refactor_before_reuse,Generic component may be reusable after independent dependency and accessibility review,apps/web/src/components/,none_detected,none_detected,none,Ensure errors remain non-secret,not_migrated_in_first_batch
client/src/components/ErrorBoundary.tsx,web,refactor_before_reuse,Generic component may be reusable after independent dependency and accessibility review,apps/web/src/components/,none_detected,none_detected,none,Ensure errors remain non-secret,not_migrated_in_first_batch
client/src/components/JoviaLayout.tsx,web,rewrite,Component behavior is coupled to prototype runtime or product assumptions,apps/web/src/components/,none_detected,none_detected,none,Rebuild against governed contracts and remove provider coupling,not_migrated_in_first_batch
client/src/components/ManusDialog.tsx,manus-independence,reject,Manus-specific runtime branding or diagnostic asset is prohibited,,direct,none_detected,none,Do not copy or deploy,not_migrated_in_first_batch
client/src/components/Map.tsx,web,rewrite,Component behavior is coupled to prototype runtime or product assumptions,apps/web/src/components/,none_detected,none_detected,none,Rebuild against governed contracts and remove provider coupling,not_migrated_in_first_batch
client/src/components/ui/accordion.tsx,ui,refactor_before_reuse,Presentational primitive may be reusable after accessibility license and monochrome-token review,packages/ui/src/components/,none_detected,none_detected,none,Remove implicit dependencies and verify keyboard behavior,not_migrated_in_first_batch
client/src/components/ui/alert.tsx,ui,refactor_before_reuse,Presentational primitive may be reusable after accessibility license and monochrome-token review,packages/ui/src/components/,none_detected,none_detected,none,Remove implicit dependencies and verify keyboard behavior,not_migrated_in_first_batch
client/src/components/ui/alert-dialog.tsx,ui,refactor_before_reuse,Presentational primitive may be reusable after accessibility license and monochrome-token review,packages/ui/src/components/,none_detected,none_detected,none,Remove implicit dependencies and verify keyboard behavior,not_migrated_in_first_batch
client/src/components/ui/aspect-ratio.tsx,ui,refactor_before_reuse,Presentational primitive may be reusable after accessibility license and monochrome-token review,packages/ui/src/components/,none_detected,none_detected,none,Remove implicit dependencies and verify keyboard behavior,not_migrated_in_first_batch
client/src/components/ui/avatar.tsx,ui,refactor_before_reuse,Presentational primitive may be reusable after accessibility license and monochrome-token review,packages/ui/src/components/,none_detected,none_detected,none,Remove implicit dependencies and verify keyboard behavior,not_migrated_in_first_batch
